  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,🔲,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,🔲,🔲,🔲,🔲,🪦,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,⬛,🪦,🪦,🪦,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,🔲,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,🪦,🪦,🏰,🪦,🪦,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,🔲,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,⬛,🪦,🪦,🪦,🔲,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,🔲,📦,⬛,⬛,🪦,⬛,🔲,🔲,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,  ,  ,  ,🔲,⬛,🪨,💀,⬛,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,🔲,⬛,⬛,🪨,⬛,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,⬛,⬛,⬛,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,⬛,🪨,⬛,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,  ,🔲,🔲,⬛,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,🔲,⬛,⬛,⬛,🪨,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,🔲,🚪,🔲,  ,  ,  ,  ,  ,  ,  ,🔲,⬛,⬛,⬛,⬛,🔲,  
  ,  ,  ,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,🔲,  ,  ,  ,  ,  ,  ,🔲,⬛,⬛,⬛,⬛,🔲,  
  ,  ,🔲,🔲,⬛,🔲,  ,  ,  ,  ,  ,🔲,🔲,⬛,⬛,⬛,🔲,🔲,🔲,🔲,🔲,🔲,  ,🔲,⬛,⬛,⬛,⬛,🔲,  
  ,  ,🔲,🔲,🚪,🔲,🔲,🔲,  ,  ,  ,🔲,🔲,⬛,🟦,⬛,⬛,⬛,⬛,⬛,⬛,🔲,  ,🔲,🔲,🚪,🔲,🔲,🔲,  
